img_fp,l0,l1,l2,l3
"('intermediary/split_data/test/TCGA-A5-A0R9-01Z-00-DX1.743A968C-231F-41E4-ADC8-E26FC228E437.png',)",2.4065616,1.4589058,2.1649444,1.2239642
"('intermediary/split_data/test/TCGA-DJ-A4UP-01Z-00-DX1.46F90739-541F-4EBA-9564-DF0FC2C8D2B9.png',)",0.9613149,1.113192,2.322065,2.150798
"('intermediary/split_data/test/TCGA-KK-A8IB-01Z-00-DX1.84831EF3-B283-4152-9A81-426E3099882D.png',)",1.2688026,0.84327334,2.4423027,1.6539593
"('intermediary/split_data/test/TCGA-A3-3316-01Z-00-DX1.d6248cf8-7b02-4dce-8c91-1b91751cf1ee.png',)",0.88599473,1.5440761,0.83131844,1.2369637
"('intermediary/split_data/test/TCGA-H9-7775-01Z-00-DX1.ce2fb4f9-7a84-467c-8326-2c6605f3a1e9.png',)",0.65496755,0.63993114,0.79904574,0.7137778
"('intermediary/split_data/test/TCGA-EL-A3GW-01Z-00-DX1.006A8444-7894-4864-A181-D57EE97B4303.png',)",0.63800365,1.0264972,1.0135355,2.465464
"('intermediary/split_data/test/TCGA-E1-A7YI-01Z-00-DX1.BC6CCA84-ED9A-4945-9B66-8F2884E0712B.png',)",1.0594026,0.973205,2.5065522,1.9250575
"('intermediary/split_data/test/TCGA-HT-7468-01Z-00-DX9.41F63F36-2FB3-40A2-9FA5-E448879DB7EE.png',)",0.63800365,0.63800365,1.1228,0.8638732
"('intermediary/split_data/test/TCGA-E1-A7YY-01Z-00-DX1.B652C843-4122-453A-B67B-68DD0ADE4476.png',)",0.90509826,0.7207718,1.8019454,1.8471285
"('intermediary/split_data/test/TCGA-YL-A8S8-01Z-00-DX1.54845009-AA3A-4507-9FB6-5C1D11174997.png',)",1.6622671,2.4345522,1.4227157,1.9039893
"('intermediary/split_data/test/TCGA-49-4514-01Z-00-DX1.9c304807-2a0c-44f7-97cc-fbd30f2c740f.png',)",0.71069795,1.0921087,1.1632056,2.361087
"('intermediary/split_data/test/TCGA-EI-6881-01Z-00-DX1.5cfa2929-4374-4166-b110-39ab7d3de7cd.png',)",0.63800365,0.63800365,0.96337825,0.9232104
"('intermediary/split_data/test/TCGA-HT-7877-01Z-00-DX6.54F34D96-F632-473E-BBCE-13EFE52100F8.png',)",2.2408469,1.9914689,1.8684893,1.726543
"('intermediary/split_data/test/TCGA-DB-A64P-01Z-00-DX1.A14552EE-4B33-4839-A733-00302D0BAFBC.png',)",1.275485,2.3656127,0.79246396,1.2443151
"('intermediary/split_data/test/TCGA-AJ-A3OL-01Z-00-DX1.AB25578F-C080-4A38-835A-E40703686ABF.png',)",1.6802827,1.0602841,0.9786259,0.91689503
"('intermediary/split_data/test/TCGA-L6-A4EQ-01Z-00-DX1.F8E576B5-ADA7-44DB-AC79-C3429F2B33E2.png',)",1.1484251,0.6924974,2.260535,1.448098
"('intermediary/split_data/test/TCGA-50-5045-01Z-00-DX2.0FCA12EA-572E-4A7D-900D-6E200892170E.png',)",1.0055448,0.6446957,1.9353786,1.3060114
"('intermediary/split_data/test/TCGA-49-4505-01Z-00-DX2.48df81e7-5a8e-4c5b-993a-6a54481a35e9.png',)",0.88931626,1.1471488,1.427171,2.1283793
"('intermediary/split_data/test/TCGA-TM-A84H-01Z-00-DX2.3DD9940B-E941-45C4-8C26-0F87E8EF4569.png',)",0.890519,2.3635962,0.8416402,1.4980532
"('intermediary/split_data/test/TCGA-49-4494-01Z-00-DX7.9f722476-622e-4374-9fda-ef35184f01e0.png',)",1.20251,2.226603,1.2591195,1.8319643
"('intermediary/split_data/test/TCGA-L5-A43E-01Z-00-DX1.03B10F6C-C211-4357-941C-6414D0DA5335.png',)",2.1331136,1.6771328,1.8103713,1.0584544
"('intermediary/split_data/test/TCGA-A3-3383-01Z-00-DX1.47624bec-fdf1-48d6-8cd6-04cad2948117.png',)",1.7098609,1.1036146,1.3355508,0.8537883
"('intermediary/split_data/test/TCGA-DB-A75K-01Z-00-DX1.20780A21-CE9E-4ABB-97E9-3D44D47C6218.png',)",1.4008843,1.6159459,0.6410387,0.9757424
"('intermediary/split_data/test/TCGA-Y6-A9XI-01Z-00-DX5.C484E378-EF4C-4F91-ACC0-53FFC48F166F.png',)",0.8415668,1.549157,0.7380845,1.0557835
"('intermediary/split_data/test/TCGA-DH-5140-01Z-00-DX1.59175D15-3971-470B-85A0-E6984D4CA438.png',)",0.66651577,1.0092976,1.2415813,2.3412192
"('intermediary/split_data/test/TCGA-EL-A3GY-01Z-00-DX1.77EB800B-4CE0-4AD3-816B-EA6D945C1156.png',)",2.2620676,2.1182199,1.767586,1.7407211
"('intermediary/split_data/test/TCGA-49-4490-01Z-00-DX5.feea87ff-61c6-465e-8b36-4803f6af3d62.png',)",1.0304416,0.7636675,2.4090757,1.2607287
"('intermediary/split_data/test/TCGA-HT-7874-01Z-00-DX1.5D728C37-46E8-4B21-B55E-4EA2787DF519.png',)",1.0428339,2.4893088,0.8858255,1.7538166
"('intermediary/split_data/test/TCGA-AX-A0IZ-01Z-00-DX2.9AC6AAD3-9A99-4236-9BC8-15BFA48883B6.png',)",2.5017903,1.6738861,1.5505682,1.1982467
